"keyword","n_doc","total_freq","mean_rake"
"premature infant",35,132,2.30600755453697
"heart rate",9,28,2.18518518518519
"respiratory rate",9,21,2.13888888888889
"physiological parameters",7,23,2.19047619047619
"music therapy",5,19,2.37333333333333
"kangaroo care",4,19,2.40476190476191
"weight gain",4,11,1.875
"classical music",3,11,2.27037037037037
"mother lullaby",3,9,1.62254901960784
"music intervention",3,10,2.01428571428571
"vital sign",3,7,2
"birth weight",2,8,3.04166666666667
"cortisol values",2,4,2.21666666666667
"endotracheal suctioning",2,4,1.66666666666667
"gestational age",2,4,1.83333333333333
"heel lance",2,9,1.9
"mother anxiety",2,6,1.77638888888889
"mother voice",2,5,1.58333333333333
"neonatal intensive care unit",2,4,11.5
"oxygen desaturations",2,4,2
"physiological criteria",2,7,2
"salivary cortisol",2,8,4.33333333333333
"stress response",2,4,3.83333333333333
"acoustic stimulation",1,2,3.16666666666667
"activity patterns",1,3,2.4
"autonomic nervous system",1,2,8.3
"behavioral effects",1,3,2
"behavioral state",1,2,2
"behavioral states",1,2,1.75
"beneficial effects",1,2,1.66666666666667
"body weight",1,5,2
"brahm lullaby",1,4,2.25
"breast milk",1,4,2.66666666666667
"cerebral oxygenation",1,2,3.35
"cortical grey matter",1,4,6.4
"despite attempts",1,2,2
"developmental program",1,4,2
"double piano sonata",1,3,6
"feeding progression",1,2,2.66666666666667
"fiber cross -section",1,3,5.6
"fiber density",1,2,2.6
"functional connectivity",1,5,2.41666666666667
"gestational ages",1,2,2
"harp music",1,2,1.22222222222222
"heel stick",1,2,2.66666666666667
"high frequency",1,4,3.75
"hours post‐procedure",1,4,2
"intervention arm",1,3,2
"kangaroo mother care",1,3,4.53571428571429
"longitudinal increase",1,3,3.25
"low frequency",1,4,2.25
"lower alpha",1,3,2.57142857142857
"lullaby exposure",1,2,1.33333333333333
"lullaby music",1,2,1
"lullaby stage",1,4,1.52083333333333
"mean decrease",1,2,2
"mozart lullaby",1,4,2.54621848739496
"multimodal stimulation",1,3,1.625
"mum lullaby",1,2,2.75
"music exposure",1,2,1.1
"music player",1,4,2.66666666666667
"musical stimulation",1,8,2
"neonatal identification information form",1,2,11.5
"neonatal pain",1,2,2
"neuromotor development",1,2,2
"oral feeding skills",1,3,5.5
"orientation dispersion index",1,3,6
"orogastric tube feeding",1,2,6
"overnight sleep",1,2,2
"oxygen_saturation monitoring form",1,2,6.16666666666667
"pain levels",1,2,3.53333333333333
"pain response",1,2,2.75
"pain responses",1,2,2
"painful procedures",1,2,4.56666666666667
"physiologic responses",1,2,1.6
"physiological responses",1,2,2
"premature children",1,5,1.56666666666667
"respiration rate",1,2,2.25
"routine care",1,2,2.33333333333333
"routine nursing care",1,2,4.66666666666667
"salience network",1,3,2
"saliva samples",1,2,2
"scalp electroencephalography",1,3,3.2
"stress level indicators",1,3,6
"stress levels",1,2,2.66666666666667
"stress symptoms",1,2,1.75
"term infant",1,2,2
"total protein",1,2,2.66666666666667
"touch intervention",1,4,2
"upper alpha frequency bands",1,2,9.23809523809524
"wake patterns",1,3,2
