"period","type","n"
"1998–2015","Live music / Singing",2
"1998–2015","Lullaby / Mother voice",1
"1998–2015","Music listening",1
"1998–2015","Music therapy",3
"1998–2015","Other",5
"2016–2020","Combined intervention",1
"2016–2020","Live music / Singing",1
"2016–2020","Lullaby / Mother voice",5
"2016–2020","Music listening",7
"2016–2020","Music therapy",4
"2016–2020","Other",2
"2020–2022","Combined intervention",2
"2020–2022","Lullaby / Mother voice",7
"2020–2022","Music listening",1
"2020–2022","Music therapy",10
"2020–2022","Other",3
"2022–2025","Combined intervention",2
"2022–2025","Live music / Singing",2
"2022–2025","Music listening",2
"2022–2025","Music therapy",8
"2022–2025","Other",3
