"period","keyword","freq"
"Period 1","premature infant",16
"Period 1","music therapy",7
"Period 1","heart rate",5
"Period 1","kangaroo care",3
"Period 1","behavioral effects",2
"Period 1","behavioral state",2
"Period 1","high frequency",2
"Period 1","mother anxiety",2
"Period 1","mother voice",2
"Period 1","respiratory rate",2
"Period 1","salivary cortisol",2
"Period 1","stress level",2
"Period 2","premature infant",12
"Period 2","music therapy",5
"Period 2","heart rate",4
"Period 2","respiratory rate",4
"Period 2","lullaby stage",2
"Period 2","mother lullaby",2
"Period 2","music intervention",2
"Period 3","music therapy",16
"Period 3","premature infant",15
"Period 3","heart rate",5
"Period 3","skin care",3
"Period 3","depressive symptoms",2
"Period 3","mother anxiety",2
"Period 3","neonatal intensive care unit",2
"Period 3","physiological criteria",2
"Period 3","physiological parameters",2
"Period 3","respiratory rate",2
"Period 3","weight gain",2
"Period 4","music therapy",10
"Period 4","premature infant",9
"Period 4","standard care",4
"Period 4","physiological parameters",3
"Period 4","weight gain",3
"Period 4","white matter",3
"Period 4","bayley scales",2
"Period 4","kangaroo care",2
"Period 4","music intervention",2
"Period 4","respiratory rate",2
"Period 4","toddler development",2
"Period 4","vital sign",2
