"topic","term","beta"
1,"premature_infant",0.505295707418767
1,"heart_rate",0.153858794049073
1,"respiratory_rate",0.0726498883964359
1,"weight_gain",0.0642065320352109
1,"gestational_age",0.0523322631006724
1,"autonomic_nervous_system",0.0282510921755801
1,"neonatal_intensive_care_unit",0.0273490860172749
1,"mother_voice",0.0231145368536365
1,"high_frequency",0.0177495092894051
1,"endotracheal_suctioning",0.0154096910117245
2,"music_therapy",0.726459518874456
2,"standard_care",0.0557501475172103
2,"skin_care",0.0497196644689951
2,"infant_bonding",0.0469574614112648
2,"depressive_symptoms",0.0276220361242734
2,"neonatal_intensive_care_unit",0.0228450268541368
2,"premature_infant",0.0217525084047493
2,"term_effects",0.019335425286991
2,"hospital_discharge",0.0142231390640269
2,"cerebral_oxygenation",0.0138102809810982
3,"kangaroo_care",0.210128917233901
3,"premature_infant",0.198091660394711
3,"physiological_parameters",0.10963622359282
3,"mother_anxiety",0.0822242871333103
3,"physiological_responses",0.063952250395793
3,"mother_lullaby",0.0639366503055102
3,"heart_rate",0.0551364056882986
3,"birth_weight",0.0519208740346026
3,"physiological_criteria",0.0319761395790719
3,"behavioral_state",0.028860294115377
4,"music_intervention",0.151415064226046
4,"classical_music",0.115363858690503
4,"vital_sign",0.100943375982712
4,"premature_children",0.0865228926912157
4,"salivary_cortisol",0.0852708740189275
4,"behavioral_state",0.0770204014124511
4,"stress_level",0.0721024116815641
4,"toddler_development",0.0504716877091812
4,"bayley_scales",0.0504716876555052
4,"premature_infant",0.0361623361900204
